member_id,month,txn_count,deposits,withdrawals,payments,transfers_zero,net_amount,channels_used
M005801,2024-12-01,1,314.0,0.0,0.0,0,314.0,1
M009307,2024-05-01,6,3708.65,425.15000000000003,0.0,0,3283.5,2
M002594,2025-04-01,1,0.0,374.86,0.0,0,-374.86,1
M000986,2024-05-01,4,905.9200000000001,726.93,0.0,0,178.99000000000012,2
M005517,2025-04-01,2,2040.63,0.0,0.0,0,2040.63,2
M008349,2024-04-01,1,250.79,0.0,0.0,0,250.79,1
M006240,2025-09-01,1,0.0,676.77,0.0,0,-676.77,1
M006846,2025-07-01,1,0.0,343.66,0.0,0,-343.66,1
M001079,2025-02-01,3,330.94,32.32,0.0,0,1048.22,3
M007390,2025-02-01,1,1768.67,0.0,0.0,0,1768.67,1
M002401,2025-08-01,4,2159.6800000000003,405.21,223.18,0,1531.29,2
M004987,2024-11-01,1,1107.01,0.0,0.0,0,1107.01,1
M009713,2025-04-01,2,3795.0200000000004,0.0,0.0,0,3795.0200000000004,2
M005716,2024-10-01,3,1503.8,0.0,0.0,0,1503.8,2
M009996,2024-10-01,3,1176.1399999999999,0.0,72.04,0,1104.1,2
M007978,2025-05-01,4,2450.35,931.8299999999999,0.0,0,1518.52,2
M007832,2024-03-01,6,1392.41,800.46,151.22,0,-203.32999999999993,4
M008450,2025-09-01,1,659.05,0.0,0.0,0,659.05,1
M008999,2024-06-01,2,0.0,442.56,0.0,0,-1041.98,2
M009733,2024-12-01,1,0.0,0.0,0.0,0,-334.2,1
M004898,2025-01-01,2,2325.45,0.0,0.0,0,2325.45,2
M008670,2025-08-01,7,3202.17,674.05,450.16,0,2629.05,3
M003559,2024-06-01,1,0.0,0.0,523.14,0,-523.14,1
M004575,2025-07-01,1,850.96,0.0,0.0,0,850.96,1
M001897,2025-04-01,2,1641.14,0.0,0.0,0,1494.22,2
M002165,2024-10-01,2,661.34,0.0,0.0,0,196.14000000000004,2
M002849,2025-02-01,4,0.0,290.7,654.13,0,-944.8299999999999,2
M002853,2025-09-01,4,669.98,368.31,163.21,0,-481.8900000000001,3
M000108,2025-07-01,2,1620.86,0.0,0.0,0,1620.86,1
M007237,2025-07-01,1,721.21,0.0,0.0,0,721.21,1
M005952,2024-03-01,2,0.0,25.44,336.68,0,-362.12,2
M001351,2024-03-01,2,2064.6400000000003,0.0,0.0,0,2064.6400000000003,2
M005089,2025-04-01,2,988.5,177.55,0.0,0,810.95,2
M009131,2025-07-01,2,1552.62,96.62,0.0,0,1456.0,1
M003695,2024-08-01,1,0.0,0.0,68.98,0,-68.98,1
M008617,2025-08-01,2,2278.15,0.0,0.0,0,2278.15,1
M004903,2024-01-01,4,2624.2,0.0,0.0,0,2954.85,1
M008412,2025-07-01,2,1320.45,0.0,8.31,0,1312.14,2
M005130,2025-02-01,2,1132.49,0.0,63.2,0,1069.29,2
M005734,2024-01-01,1,663.71,0.0,0.0,0,663.71,1
M006600,2025-07-01,2,509.07,1071.66,0.0,0,-562.5900000000001,2
M007670,2024-03-01,4,2128.38,0.0,285.06,0,2536.5400000000004,2
M006456,2024-11-01,5,1739.68,677.95,0.0,0,1061.73,1
M005713,2025-01-01,2,598.02,0.0,0.0,0,598.02,1
M003848,2024-11-01,3,0.0,1651.64,0.0,0,-1651.64,2
M002038,2024-09-01,3,0.0,1267.17,0.0,0,-1145.89,3
M008081,2024-03-01,2,1649.44,0.0,0.0,0,1649.44,2
M006847,2025-09-01,1,2161.94,0.0,0.0,0,2161.94,1
M006792,2025-02-01,1,0.0,0.0,67.0,0,-67.0,1
M003890,2024-10-01,2,1217.07,347.31,0.0,0,869.76,2
M006246,2025-07-01,1,509.41,0.0,0.0,0,509.41,1
M007295,2024-03-01,5,1561.72,693.07,0.0,0,1880.84,3
M007520,2025-03-01,4,1276.74,742.41,0.0,0,597.2400000000001,2
M007073,2025-04-01,1,0.0,867.4,0.0,0,-867.4,1
M006152,2025-08-01,3,2784.35,0.0,105.42,0,2678.93,2
M004884,2024-09-01,1,0.0,211.85,0.0,0,-211.85,1
M007030,2024-02-01,1,0.0,262.1,0.0,0,-262.1,1
M003031,2025-04-01,2,944.16,232.34,0.0,0,711.8199999999999,2
M002011,2024-06-01,2,506.92,157.01,0.0,0,349.91,2
M002872,2025-08-01,1,374.55,0.0,0.0,0,374.55,1
M003564,2024-01-01,1,0.0,706.63,0.0,0,-706.63,1
M000765,2024-03-01,5,71.1,1231.65,0.0,0,-2375.21,3
M008843,2025-05-01,3,1388.87,0.0,618.15,0,770.7199999999999,1
M001570,2024-08-01,4,0.0,524.15,306.47,0,-736.58,3
M004750,2025-02-01,2,1537.82,0.0,213.79,0,1324.03,2
M000365,2024-09-01,3,3264.67,0.0,0.0,0,3264.67,3
M003320,2024-11-01,3,1756.3899999999999,649.49,0.0,0,1106.8999999999999,2
M002453,2024-07-01,1,537.15,0.0,0.0,0,537.15,1
M008032,2024-06-01,1,0.0,0.0,134.4,0,-134.4,1
M006986,2025-03-01,3,0.0,0.0,307.66999999999996,0,-460.61999999999995,2
M001199,2024-06-01,1,642.42,0.0,0.0,0,642.42,1
M002528,2024-05-01,5,1724.11,0.0,0.0,0,2376.2,2
M003986,2025-06-01,1,383.96,0.0,0.0,0,383.96,1
M002359,2025-06-01,2,19.81,866.26,0.0,0,-846.45,2
M008391,2025-04-01,3,1158.54,0.0,357.9,0,509.78999999999996,2
M000571,2025-02-01,2,952.64,844.55,0.0,0,108.09000000000003,2
M000172,2024-02-01,1,0.0,1136.16,0.0,0,-1136.16,1
M000371,2025-05-01,4,940.82,0.0,433.32,0,-51.35999999999993,3
M001045,2025-04-01,2,1492.21,0.0,344.62,0,1147.5900000000001,2
M007750,2024-09-01,1,814.15,0.0,0.0,0,814.15,1
M001151,2024-06-01,4,2781.1800000000003,0.0,0.0,0,2781.1800000000003,1
M001841,2024-05-01,3,715.65,983.8699999999999,0.0,0,-268.21999999999997,3
M000050,2025-07-01,2,927.65,0.0,0.0,0,927.65,2
M002462,2025-05-01,5,3293.0800000000004,0.0,282.72,0,3010.3600000000006,2
M001898,2025-08-01,3,1091.11,1427.63,0.0,0,-336.5200000000001,2
M004354,2025-07-01,3,1639.79,0.0,58.52,0,1581.27,1
M008278,2025-05-01,1,608.47,0.0,0.0,0,608.47,1
M004615,2024-05-01,4,524.64,170.6,354.0,0,0.03999999999999204,2
M006728,2025-04-01,1,365.4,0.0,0.0,0,365.4,1
M009188,2024-05-01,4,1057.6799999999998,149.78,0.0,0,586.2099999999999,3
M002951,2024-05-01,2,1079.47,237.73,0.0,0,841.74,2
M009156,2025-03-01,2,648.38,0.0,194.32,0,454.06,2
M004347,2024-03-01,4,2414.53,846.7,0.0,0,1567.83,3
M000224,2024-12-01,5,77.81,1137.92,309.39,0,-1369.5,3
M006579,2025-03-01,1,2237.62,0.0,0.0,0,2237.62,1
M006601,2024-03-01,1,1112.56,0.0,0.0,0,1112.56,1
M004368,2025-03-01,4,2005.06,149.61,95.74,0,1759.71,2
M005803,2024-10-01,1,0.0,0.0,203.57,0,-203.57,1
M007374,2024-08-01,1,0.0,11.61,0.0,0,-11.61,1
M006718,2025-01-01,3,708.28,401.28,29.36,0,277.64,2
M005705,2024-05-01,1,0.0,456.74,0.0,0,-456.74,1
M000398,2025-02-01,1,0.0,736.75,0.0,0,-736.75,1
M009405,2025-08-01,3,0.0,532.6,264.42,0,-941.1400000000001,2
M000937,2025-04-01,4,1320.8899999999999,0.0,165.57,0,1155.32,2
M000315,2024-04-01,2,0.0,915.9,0.0,0,-915.9,2
M000516,2025-01-01,2,1104.85,0.0,0.0,0,925.3499999999999,1
M005461,2024-08-01,6,970.78,337.43,152.87,0,-412.5600000000002,2
M007899,2024-10-01,4,1372.3,607.64,0.0,0,764.66,1
M003036,2025-05-01,1,0.0,0.0,0.0,0,351.26,1
M007400,2024-07-01,1,0.0,0.0,0.0,0,478.53,1
M001267,2024-12-01,1,144.33,0.0,0.0,0,144.33,1
M006956,2025-06-01,1,993.75,0.0,0.0,0,993.75,1
M009423,2024-03-01,3,2334.94,0.0,0.0,0,2334.94,1
M004662,2024-07-01,3,1149.69,1113.83,0.0,0,35.86000000000007,2
M000075,2025-02-01,3,1037.72,959.6400000000001,0.0,0,78.07999999999993,2
M001002,2024-09-01,3,792.71,0.0,111.33,0,1047.3,3
M004037,2024-07-01,2,0.0,0.0,152.43,0,241.07,2
M002207,2025-08-01,2,1.23,0.0,0.0,0,230.92,2
M003252,2025-04-01,3,1571.58,135.05,0.0,0,1629.78,2
M007345,2025-06-01,6,137.23,1930.1100000000001,39.48,0,-2292.12,3
M005815,2024-01-01,3,1583.13,582.95,0.0,0,1000.18,2
M008947,2025-05-01,2,1119.9,0.0,0.0,0,1119.9,2
M000464,2025-07-01,1,0.0,0.0,250.52,0,-250.52,1
M009981,2024-12-01,1,18.44,0.0,0.0,0,18.44,1
M002279,2024-10-01,2,85.63,0.0,429.29,0,-343.66,2
M001903,2025-02-01,4,0.0,1827.5,0.0,0,-1827.5,2
M004119,2025-03-01,3,1382.0,1272.7,0.0,0,109.29999999999995,1
M007321,2025-06-01,1,970.24,0.0,0.0,0,970.24,1
M005271,2025-03-01,1,0.0,413.92,0.0,0,-413.92,1
M002667,2025-06-01,5,1302.8899999999999,812.4799999999999,0.0,0,490.40999999999997,2
M005773,2024-03-01,1,536.14,0.0,0.0,0,536.14,1
M008126,2025-07-01,1,0.0,491.07,0.0,0,-491.07,1
M007440,2024-09-01,3,1116.61,22.47,0.0,0,1094.1399999999999,3
M000518,2024-11-01,2,975.7,204.99,0.0,0,770.71,2
M002675,2025-06-01,1,1306.06,0.0,0.0,0,1306.06,1
M002363,2024-05-01,3,719.83,0.0,238.78,0,165.64000000000004,2
M005883,2024-10-01,2,1653.73,0.0,0.0,0,1990.02,2
M000854,2025-01-01,3,492.56,597.16,0.0,0,148.82000000000002,2
M006016,2024-07-01,3,3756.95,0.0,259.66,0,3497.29,3
M008008,2025-02-01,1,0.0,490.7,0.0,0,-490.7,1
M004709,2024-05-01,2,0.0,966.78,0.0,0,-966.78,1
M008387,2024-05-01,2,0.0,1778.26,0.0,0,-1778.26,2
M009388,2025-09-01,5,1761.9,700.75,198.49,0,850.86,4
M005850,2024-01-01,2,2843.8999999999996,0.0,0.0,0,2843.8999999999996,2
M000006,2024-03-01,3,0.0,311.6,408.01,0,-719.61,2
M005700,2024-04-01,6,1352.71,999.04,499.79,0,-146.1199999999999,4
M009738,2025-05-01,1,0.0,1006.2,0.0,0,-1006.2,1
M008933,2024-08-01,1,0.0,327.94,0.0,0,-327.94,1
M005793,2024-05-01,1,0.0,0.0,91.75,0,-91.75,1
M004076,2024-12-01,1,870.31,0.0,0.0,0,870.31,1
M000089,2025-01-01,4,282.91,386.44,0.0,0,-31.93999999999994,2
M007876,2025-01-01,6,1092.39,430.57,253.01999999999998,0,1186.9099999999999,4
M000952,2024-09-01,2,0.0,984.52,104.97,0,-1089.49,1
M002044,2024-09-01,4,0.0,1109.6,99.22,0,-1208.8200000000002,3
M003522,2024-01-01,1,154.12,0.0,0.0,0,154.12,1
M003501,2024-06-01,4,1085.97,507.27,0.0,0,578.6999999999999,1
M000117,2024-02-01,3,2605.52,0.0,0.0,0,2605.52,2
M005907,2024-09-01,2,1668.25,0.0,0.0,0,1668.25,2
M000623,2024-05-01,3,207.84,661.12,298.84,0,-752.12,2
M003280,2025-01-01,3,1016.17,799.03,207.6,0,9.539999999999992,2
M009317,2024-01-01,2,832.56,0.0,245.13,0,587.43,1
M000157,2024-11-01,1,0.0,0.0,0.0,0,769.68,1
M008953,2025-05-01,3,247.15,511.03,0.0,0,-1379.46,2
M004053,2024-07-01,1,0.0,235.43,0.0,0,-235.43,1
M002288,2025-03-01,6,0.0,1549.57,369.45,0,-1919.02,3
M008116,2025-01-01,2,0.0,577.7700000000001,0.0,0,-577.7700000000001,1
M006269,2024-03-01,2,1211.84,651.52,0.0,0,560.3199999999999,1
M008864,2024-05-01,2,1214.52,237.54,0.0,0,976.98,1
M009957,2025-03-01,4,1924.3600000000001,539.09,0.0,0,1385.2700000000002,2
M000452,2025-02-01,1,1801.33,0.0,0.0,0,1801.33,1
M003124,2025-05-01,5,3390.88,126.08,0.0,0,3588.75,2
M008282,2025-01-01,4,0.0,589.09,0.0,0,650.1999999999999,3
M003830,2024-06-01,5,1129.1100000000001,856.51,0.0,0,272.60000000000014,4
M003202,2025-07-01,2,394.54,55.73,0.0,0,338.81,2
M002714,2025-06-01,2,287.48,0.0,270.67,0,16.810000000000002,2
M004750,2024-01-01,4,1599.95,244.47,0.0,0,1355.48,2
M007781,2024-12-01,1,0.0,0.0,0.0,0,-20.85,1
M005625,2025-07-01,2,1787.0300000000002,0.0,0.0,0,1787.0300000000002,2
M009181,2025-07-01,3,657.94,0.0,19.45,0,937.52,2
M000615,2024-11-01,4,4415.17,0.0,0.0,0,4415.17,3
M003052,2025-06-01,4,1325.45,122.12,43.03,0,1160.3,2
M006710,2024-09-01,2,0.0,1006.89,0.0,0,-1006.89,2
M008526,2024-09-01,3,60.03,0.0,117.34,0,384.63,2
M008008,2024-07-01,5,2216.03,0.0,195.75,0,2020.2800000000002,3
M004816,2025-09-01,2,404.01,0.0,211.8,0,192.20999999999998,2
M005972,2025-09-01,1,0.0,469.72,0.0,0,-469.72,1
M008861,2025-09-01,1,817.13,0.0,0.0,0,817.13,1
M006016,2024-01-01,2,18.13,88.45,0.0,0,-70.32000000000001,1
M002948,2025-03-01,4,725.8,174.6,142.82,0,498.78999999999996,3
M009064,2024-12-01,3,207.51,54.81,184.57,0,-31.870000000000005,2
M008559,2024-04-01,3,1213.03,269.6,0.0,0,943.4300000000001,2
M006422,2024-06-01,4,1821.67,217.33,77.07,0,1527.27,3
M001241,2024-12-01,3,1360.18,0.0,392.9,0,967.2800000000001,3
M005480,2024-01-01,3,561.14,934.1400000000001,0.0,0,-373.00000000000006,3
M006670,2024-07-01,2,0.0,978.71,0.0,0,-978.71,1
M006198,2024-03-01,1,258.95,0.0,0.0,0,258.95,1
M005543,2024-11-01,3,1415.14,0.0,323.25,0,1091.89,2
M009115,2025-06-01,2,1664.54,0.0,0.0,0,1664.54,2
M001366,2025-04-01,2,2547.34,0.0,198.71,0,2348.63,1
M006544,2025-07-01,1,1928.67,0.0,0.0,0,1928.67,1
